E_GeV,direct_photon_yield,stat_unc
0.5  ,     18.3843  ,    4.1623
0.7  ,     3.86369  ,    0.908128
0.9  ,     1.53171  ,    0.313389
1.1  ,     0.500764 ,    0.119182
1.3  ,     0.248402 ,    0.05397
1.5  ,     0.105543 ,    0.025248
1.7  ,     0.071944 ,    0.014094
1.9  ,     0.02895  ,    0.007115
2.25 ,     0.007928 ,    0.001929
3    ,     0.001125 ,    0.000274
